0,1,2,3,4,5
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,19G,ENG – C (PLAIN),MAT ALTERNATIVE A/B - D+,BIO/GSC - C+,"MAT ALTERNATIVE A/B
/2nd GROUP II/GEO - C+"
,,"Bachelor of Education (Special Needs Education - Secondary Option)
Bachelor of Education (Special Needs Education)
Bachelor of Education (Visual and Performing Arts)",,,
,19H,ENG – C (PLAIN),MAT ALTERNATIVE A/B - D+,FRENCH - C+,"ENG/KIS/MAT ALTERNATIVE
A/B/HAG/GEO/CRE/IRE/HRE/SSE/HSC/ARD/CMP
/ANY GROUP 5 - C+"
,,"Bachelor of Education (French)
Bachelor of Education (French, With IT)",,,
,19I,ENG – C (PLAIN),MAT ALTERNATIVE A/B - D+,MUSIC - C+,"ENG/KIS/MAT ALTERNATIVE
A/B/HAG/GEO/CRE/IRE/HRE/SSE/HSC/ARD/CMP
/ANY GROUP 5 - C+"
,,"Bachelor of Education (Music)
Bachelor of Education (Music, With IT)",,,
,19J,ENG – C (PLAIN),MAT ALTERNATIVE A/B - D+,GERMAN - C+,"ENG/KIS/MAT ALTERNATIVE
A/B/HAG/GEO/CRE/IRE/HRE/SSE/HSC/ARD/CMP
/ANY GROUP 5 - C+"
,,"Bachelor of Education (German)
Bachelor of Education (Arts) German",,,
